queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
       445,   1823128,        48,         3,   1823179,       384,      0.53,      0.48,      0.05
       446,   1823129,        50,         0,   1823179,         0,      0.48,      0.48,      0.00
       447,   1823124,        47,         8,   1823179,       512,      0.64,      0.58,      0.06
       448,   1823129,        50,         0,   1823179,         0,      0.45,      0.45,      0.00
       449,   1823129,        50,         0,   1823179,         0,      0.56,      0.55,      0.00
       450,   1823129,        50,         0,   1823179,         0,      0.59,      0.59,      0.00
       451,    712557,        50,         0,   1823179,         0,      0.66,      0.66,      0.00
       452,   1823129,        50,         0,   1823179,         0,      0.42,      0.42,      0.00
       453,   1823129,        50,         0,   1823179,         0,      0.52,      0.52,      0.00
       454,   1823122,        48,         9,   1823179,       768,      0.63,      0.54,      0.09
       455,   1823118,        36,        25,   1823179,      1984,      0.80,      0.60,      0.20
       456,   1823128,        48,         3,   1823179,       384,      0.51,      0.46,      0.05
       457,   1823127,        37,        15,   1823179,      1152,      0.68,      0.56,      0.12
       458,   1823116,        49,        14,   1823179,       896,      0.68,      0.55,      0.12
       459,   1823116,        49,        14,   1823179,      1088,      0.70,      0.58,      0.12
       460,   1823129,        50,         0,   1823179,         0,      0.57,      0.57,      0.00
       461,   1823128,        46,         5,   1823179,       448,      0.59,      0.53,      0.06
       462,   1823129,        50,         0,   1823179,         0,      0.42,      0.42,      0.00
       463,   1823128,        49,         2,   1823179,       256,      0.53,      0.52,      0.01
       464,   1682092,        50,         0,   1823179,         0,      0.66,      0.65,      0.00
       465,   1823129,        50,         0,   1823179,         0,      0.50,      0.50,      0.00
       466,   1823122,        30,        27,   1823179,      1728,      0.83,      0.60,      0.23
       467,   1823127,        49,         3,   1823179,       448,      0.48,      0.43,      0.04
       468,   1823127,        48,         4,   1823179,       256,      0.58,      0.55,      0.03
       469,   1823127,        48,         4,   1823179,       320,      0.59,      0.53,      0.05
       470,   1823128,        40,        11,   1823179,      7936,      0.53,      0.42,      0.11
       471,   1823129,        50,         0,   1823179,         0,      0.56,      0.56,      0.00
       472,   1823126,        46,         7,   1823179,       448,      0.66,      0.58,      0.08
       473,   1823127,        49,         3,   1823179,       192,      0.55,      0.53,      0.03
       474,   1823125,        47,         7,   1823179,       448,      0.63,      0.56,      0.06
       475,   1823127,        48,         4,   1823179,       256,      0.54,      0.49,      0.06
