[2022-09-14 14:13:09.991] [info] queryID 229, result_size 12, rtk_topk 128, single_query_time 3.30s
[2022-09-14 14:13:13.398] [info] queryID 230, result_size 10, rtk_topk 64, single_query_time 3.41s
[2022-09-14 14:13:16.705] [info] queryID 231, result_size 10, rtk_topk 64, single_query_time 3.31s
[2022-09-14 14:20:59.842] [info] queryID 232, result_size 212, rtk_topk 2048, single_query_time 463.14s
[2022-09-14 14:21:00.374] [info] queryID 233, result_size 127, rtk_topk 1, single_query_time 0.53s
[2022-09-14 14:21:02.776] [info] queryID 234, result_size 15, rtk_topk 32, single_query_time 2.40s
[2022-09-14 14:21:16.896] [info] queryID 235, result_size 251, rtk_topk 1024, single_query_time 14.12s
[2022-09-14 14:41:17.099] [info] queryID 236, result_size 243, rtk_topk 4096, single_query_time 1200.20s
[2022-09-14 14:41:21.259] [info] queryID 237, result_size 41, rtk_topk 1024, single_query_time 4.16s
[2022-09-14 14:41:22.629] [info] queryID 238, result_size 12, rtk_topk 128, single_query_time 1.37s
[2022-09-14 15:01:20.858] [info] queryID 239, result_size 10, rtk_topk 4096, single_query_time 1198.23s
[2022-09-14 15:01:22.754] [info] queryID 240, result_size 14, rtk_topk 256, single_query_time 1.90s
[2022-09-14 15:01:28.835] [info] queryID 241, result_size 23, rtk_topk 1024, single_query_time 6.08s
